image_name,mask_name,threshold,image_size,Vein Density (VD),Vein Thickness (VT),Areole Size (AS),Number of Areoles (NA),Branching Angle (BA),Vein-to-Vein Distance (VVD),Main Veins (MV)
rs41-2p_region1.png,rs41-2p_region1_mask.png,0.5,224x224,0.46996970237034397,4.243896493576691,17.549421408312135,6,111.71052631578948,1.0,7
rs41-2p_region2.png,rs41-2p_region2_mask.png,0.5,224x224,0.4435946462715105,4.157108847414131,16.53725238736518,7,113.53246753246754,1.045,10
rs41-2p_region3.png,rs41-2p_region3_mask.png,0.5,224x224,0.443657728231395,4.1427438978360085,16.823079233248414,7,115.76086956521739,1.0,11
rs41-2p_region4.png,rs41-2p_region4_mask.png,0.5,224x224,0.42930436094763846,4.211016628436856,18.864523168602506,7,115.54054054054055,1.0,8
rs42-1p_region1.png,rs42-1p_region1_mask.png,0.5,224x224,0.5207189216175736,4.368057537146322,7.2097036022853285,2,114.41666666666667,1.04,18
rs42-1p_region2.png,rs42-1p_region2_mask.png,0.5,224x224,0.4654586636466591,4.260225590541134,15.711475520383768,4,115.38461538461539,1.0,11
rs42-1p_region3.png,rs42-1p_region3_mask.png,0.5,224x224,0.5033776421878405,4.223614580784941,14.254185274987412,7,110.51351351351352,1.0,5
rs42-1p_region4.png,rs42-1p_region4_mask.png,0.5,224x224,0.45811769216024534,4.098327315432621,12.88438638646341,7,115.5,1.045,9
rs51-1p_region1.png,rs51-1p_region1_mask.png,0.5,224x224,0.5369631541891575,4.369076596844305,16.30853166042194,5,115.47169811320755,1.01,4
rs51-1p_region2.png,rs51-1p_region2_mask.png,0.5,224x224,0.49323144104803496,4.277033937908068,16.150032707187364,5,115.26315789473684,1.0,5
rs51-1p_region3.png,rs51-1p_region3_mask.png,0.5,224x224,0.5159298592244999,4.663401309817816,15.306079714651624,1,113.26530612244898,1.0,9
rs51-1p_region5.png,rs51-1p_region5_mask.png,0.5,224x224,0.5208140610545791,4.293352378004475,17.50246588050065,4,113.27586206896552,1.0,6
rs52-2p_region1.png,rs52-2p_region1_mask.png,0.5,224x224,0.4331360946745562,4.06797700923213,13.258522553717617,2,113.26153846153846,1.06,12
rs52-2p_region2.png,rs52-2p_region2_mask.png,0.5,224x224,0.41392567278940623,4.176080467090195,21.807166631477163,6,111.35593220338983,1.0,5
rs52-2p_region3.png,rs52-2p_region3_mask.png,0.5,224x224,0.4209367200117457,4.565533088740877,25.26628225885518,3,115.9322033898305,1.01,11
rs52-2p_region4.png,rs52-2p_region4_mask.png,0.5,224x224,0.40460480134774673,4.172168170240906,22.76251973673442,6,112.5925925925926,1.0,6
rs53-0p_region1.png,rs53-0p_region1_mask.png,0.5,224x224,0.4294241573033708,4.240218208504308,4.068428945128219,1,112.3529411764706,1.0,9
rs53-0p_region2.png,rs53-0p_region2_mask.png,0.5,224x224,0.4080655129789864,4.215794635789406,0.0,0,110.17241379310344,1.0,15
rs53-0p_region3.png,rs53-0p_region3_mask.png,0.5,224x224,0.4451686491771224,4.393968724882441,25.631847476983474,1,115.03846153846153,1.01,9
rs53-0p_region4.png,rs53-0p_region4_mask.png,0.5,224x224,0.4397984886649874,4.091125418876174,10.138254734676018,4,114.6774193548387,1.0,10
rs61-1p_region1.png,rs61-1p_region1_mask.png,0.5,224x224,0.416796875,4.1245913188305625,17.670293774629187,8,113.21428571428571,1.0,7
rs61-1p_region2.png,rs61-1p_region2_mask.png,0.5,224x224,0.4357931435212086,4.086343119991633,18.227655152047415,6,115.76923076923077,1.0,6
rs61-1p_region3.png,rs61-1p_region3_mask.png,0.5,224x224,0.4264705882352941,4.239824577749337,20.565437761158755,6,115.06849315068493,1.015,7
rs61-1p_region4.png,rs61-1p_region4_mask.png,0.5,224x224,0.5117335352006056,4.502731067814864,12.061637172785607,3,115.2,1.0,6
rs62-0p_region1.png,rs62-0p_region1_mask.png,0.5,224x224,0.4710064781166061,4.3668348184372565,23.245192887534678,5,115.47169811320755,1.0,6
rs62-0p_region3.png,rs62-0p_region3_mask.png,0.5,224x224,0.4773508278662918,4.316175235486175,23.809877396285618,4,116.60377358490567,1.025,10
rs63-2p_region1.png,rs63-2p_region1_mask.png,0.5,224x224,0.5120063504663623,4.278665136536959,10.878180214600349,9,110.72222222222223,1.0,8
rs63-2p_region2.png,rs63-2p_region2_mask.png,0.5,224x224,0.534666099532114,4.304991778135514,12.79228516925526,9,111.08910891089108,1.0,6
rs63-2p_region3.png,rs63-2p_region3_mask.png,0.5,224x224,0.5219262295081967,4.319362442360409,11.834124504305786,8,115.13513513513513,1.0,6
rs63-2p_region4.png,rs63-2p_region4_mask.png,0.5,224x224,0.505254308532997,4.43383641325396,17.504070942301027,5,115.57377049180327,1.0,9
rs71-0p_region1.png,rs71-0p_region1_mask.png,0.5,224x224,0.46529479013555447,4.163497500324573,16.342096058109142,4,114.38709677419355,1.025,7
rs71-0p_region2.png,rs71-0p_region2_mask.png,0.5,224x224,0.4140008607086501,4.249821340159178,22.775822970907118,2,109.75,1.0,11
rs71-0p_region3.png,rs71-0p_region3_mask.png,0.5,224x224,0.4766848495512933,4.498907372929333,16.32855925111873,5,113.67272727272727,1.0,6
rs71-0p_region4.png,rs71-0p_region4_mask.png,0.5,224x224,0.44112392398895567,4.364614110993692,22.07857960110971,2,114.33962264150944,1.0,11
rs710-1p_region1.png,rs710-1p_region1_mask.png,0.5,224x224,0.4258232800782524,4.236139220094311,16.699041681916245,6,114.78688524590164,1.0,6
rs710-1p_region2.png,rs710-1p_region2_mask.png,0.5,224x224,0.4001295966304876,4.2949651115872856,20.850346636740305,4,113.5774647887324,1.0,10
